record_id,airport_name,altitude_bin,aircraft_model,wildlife_number_struck_actual,effect_impact_to_flight,flight_date,effect_indicated_damage,aircraft_airline,origin_state,phase_of_flight,conditions_precipitation,conditions_sky,wildlife_species,pilot_warned_of_wildlife,total_cost,feet_above_ground
227560,LOS ANGELES INTL,> 1000 ft,MD-82,1,none,2004-10-14,Caused damage,AMERICAN AIRLINES,California,Approach,Rain,Some Cloud,Unknown bird - small,N,0,1800.0
230286,LOUISVILLE INTL ARPT,< 1000 ft,B-767,1,none,2004-10-15,No damage,UPS AIRLINES,Kentucky,Climb,none,Some Cloud,Unknown bird - medium,Y,0,500.0
228613,SOUTHWEST FLORIDA INTL ARPT,< 1000 ft,B-757-200,1,none,2004-10-16,No damage,ATA AIRLINES,Florida,Take-off run,none,No Cloud,Unknown bird - medium,Y,0,0.0
231007,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,< 1000 ft,DORNIER 328,1,Precautionary Landing,2004-10-16,No damage,ATLANTIC COAST AIRLINES,Kentucky,Climb,none,Some Cloud,Unknown bird - small,Y,0,10.0
225652,WILL ROGERS WORLD ARPT,< 1000 ft,CL-RJ700,1,none,2004-10-16,No damage,AMERICAN EAGLE AIRLINES,Oklahoma,Approach,none,No Cloud,Unknown bird - small,N,0,50.0
233319,HONOLULU INTL ARPT,< 1000 ft,DC-10,1,none,2004-10-16,No damage,JAPAN AIRLINES,Hawaii,Take-off run,none,No Cloud,Pacific golden-plover,N,0,0.0
228228,DANE COUNTY REGIONAL ARPT-TRUAX FLD,< 1000 ft,DC-9-50,1,none,2004-10-16,No damage,NORTHWEST AIRLINES,Wisconsin,Landing Roll,none,Some Cloud,Unknown bird - small,N,0,0.0
232178,INDIANAPOLIS INTL,< 1000 ft,A-319,1,none,2004-10-17,No damage,FRONTIER AIRLINES,Indiana,Take-off run,none,Some Cloud,Unknown bird - small,N,0,0.0
230014,MOLOKAI ARPT,< 1000 ft,PA-31 NAVAJO,1,none,2004-10-17,No damage,BUSINESS,Hawaii,Approach,none,Some Cloud,Unknown bird - small,Y,0,50.0
231837,DEKALB-PEACHTREE ARPT,< 1000 ft,HAWKER 800,1,none,2004-10-17,No damage,FLIGHT OPTIONS,Georgia,Approach,none,Some Cloud,Unknown bird - small,N,0,10.0
229706,SAIPAN INTL,< 1000 ft,B-737-800,1,none,2004-10-17,No damage,CONTINENTAL MICRONESIA,Prince Edward Island,Take-off run,none,Some Cloud,Unknown bird - medium,N,0,0.0
226397,CHESTERFIELD COUNTY ARPT,> 1000 ft,AA-1,1,Precautionary Landing,2004-10-18,Caused damage,PRIVATELY OWNED,Virginia,Descent,none,No Cloud,Canada goose,N,0,1300.0
230983,BALTIMORE WASH INTL,< 1000 ft,B-737-300,1,none,2004-10-18,No damage,SOUTHWEST AIRLINES,Maryland,Climb,none,No Cloud,Unknown bird - small,N,0,800.0
224547,MORRISTOWN MUNICIPAL ARPT,< 1000 ft,GULFAERO IV,1,none,2004-10-18,No damage,EXECUTIVE JET AVIATION,New Jersey,Approach,none,Some Cloud,Unknown bird - small,Y,0,90.0
231870,LOS ANGELES INTL,< 1000 ft,SAAB-340,1,none,2004-10-18,No damage,AMERICAN EAGLE AIRLINES,California,Landing Roll,Rain,Overcast,Unknown bird - small,Y,0,0.0
226769,SALT LAKE CITY INTL,< 1000 ft,CL-RJ100/200,1,none,2004-10-18,Caused damage,COMAIR AIRLINES,Utah,Approach,none,Some Cloud,Unknown bird - medium,Y,0,500.0
228379,MANCHESTER AIRPORT,> 1000 ft,B-737-700,1,none,2004-10-18,No damage,SOUTHWEST AIRLINES,New Hampshire,Approach,none,Some Cloud,Unknown bird - small,N,0,5000.0
228128,AUSTIN-BERGSTROM INTL,> 1000 ft,MD-80,1,none,2004-10-19,No damage,AMERICAN AIRLINES,Texas,Approach,none,No Cloud,Unknown bird - medium,N,0,4000.0
226078,RICHARD LLOYD JONES JR ARPT,> 1000 ft,C-152,1,none,2004-10-19,No damage,BUSINESS,Oklahoma,Approach,none,No Cloud,Unknown bird - medium,Y,0,1500.0
229094,MARCO ISLAND ARPT,< 1000 ft,C-560,1,none,2004-10-19,No damage,BUSINESS,Florida,Take-off run,none,Some Cloud,Bald eagle,Y,0,0.0
227569,REPUBLIC AIRPORT,< 1000 ft,DA-2000,1,none,2004-10-19,No damage,NETJETS,New York,Approach,Rain,Overcast,Ring-billed gull,N,0,30.0
228834,GRAND FORKS INTL,> 1000 ft,PA-28,1,none,2004-10-19,No damage,BUSINESS,North Dakota,Descent,none,Overcast,Unknown bird - small,N,0,1300.0
225944,WESTCHESTER COUNTY ARPT,< 1000 ft,CITATION X,1,Other,2004-10-19,Caused damage,SWIFT AIR,New York,Climb,"Fog, Rain",Overcast,Ring-billed gull,Y,10223,30.0
228754,BOEING FIELD K C INT,< 1000 ft,B-737-700,1,none,2004-10-19,No damage,BUSINESS,Washington,Take-off run,Rain,Overcast,Herring gull,N,0,0.0
223705,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,MD-82,1,none,2004-10-20,No damage,AMERICAN AIRLINES,Texas,Approach,none,Some Cloud,Mourning dove,N,0,20.0
225290,NEWARK LIBERTY INTL ARPT,> 1000 ft,MD-82,1,none,2004-10-20,No damage,AMERICAN AIRLINES,New Jersey,Climb,none,No Cloud,Unknown bird - large,N,0,2000.0
232541,TAMPA INTL,> 1000 ft,B-737-300,1,none,2004-10-20,No damage,SOUTHWEST AIRLINES,Florida,Approach,none,Some Cloud,Unknown bird - small,N,0,1100.0
228362,VANCOUVER INTL,< 1000 ft,B-737-700,1,none,2004-10-20,No damage,ALOHA AIRLINES,British Columbia,Approach,Rain,Some Cloud,Unknown bird - medium,N,0,800.0
230178,CHICAGO O'HARE INTL ARPT,< 1000 ft,A-340,1,none,2004-10-20,No damage,LUFTHANSA,Illinois,Approach,none,Some Cloud,Unknown bird - medium,N,0,1000.0
